ID zgrism zgrism_hdr_- zgrism_hdr_+ lmass lmass_hdr_- lmass_hdr_+ sSFR sSFR_hdr_- sSFR_hdr_+ Av AV_hdr_- Av_hdr_+ lSigma1 lSigma1_sig tq tq_hdr_- tq_hdr_+ z50 z50_hdr_- z50_hdr_+
GND-29879 0.7107266669162741 0.0018597150879898772 0.0013492050638357345 10.802317095543694 0.026695877692043624 0.036117952171586865 -12.222129374857591 0.4607813987096243 0.36135689724783404 0.2214578563558927 0.07658922799029624 0.07658922799029627 9.986786806160207 0.05164201744507236 1.2682551148149286 0.752195858816074 0.4298709501781505 1.5818017105707427 0.24898073555044165 0.17048503057501474
GSD-41147 0.7298443667926071 0.0021093134660347124 0.0015819850995261175 10.736499785536235 0.020819744884491342 0.01810412598651112 -11.647157712891357 0.02304892728593444 0.4198443471007405 0.20406458609934747 0.057880606849645244 0.040341029016419394 9.95965190438213 0.023538777961970885 2.476170370062878 0.463790546354931 0.2771760936346286 2.0540066584466343 0.2509129171696822 0.16781069200791165
GSD-47140 0.73080595587271 0.0015662207591140564 0.0016035117295691848 10.704162830975859 0.023595534987467914 0.03163946736955836 -11.958497305073195 0.06467821830890941 0.23909420829354744 0.0013424785979281116 0.0 0.017763355270788178 9.709204660042753 0.036469552334255764 1.898672279496719 1.0702713869090559 0.36674176054201163 2.773758732165702 0.8113944784719118 0.21502984918833956
GSD-46001 0.7315071357491955 0.000663530151447822 0.0014079786140476225 11.101504857874483 0.018617821302013837 0.03209969190002404 -11.713089698578571 0.044697528725119895 0.49469890136007777 0.43441333104168867 0.08873447357764663 0.03721123085514211 10.049206634793112 0.033758574741501575 1.814758727415012 0.8442902753250959 0.27316034210360096 1.9054401186594772 0.40738932267257644 0.10341762151747802
GND-27006 0.7434810041628173 0.001366187791254081 0.0008111740010572355 10.882377344023764 0.023401450384680444 0.03536219169240695 -11.9965338877944 0.16601915519378352 0.5632771165255939 0.25626961721166375 0.059916837429523556 0.07988911657269804 10.13310760652903 0.04136992961224852 2.3009875134636983 1.0471526856511673 0.48035643964551444 3.0238541509631367 0.7874351810604869 0.45058305814480226
GND-22358 0.7785645030568895 0.0048217924866826856 0.005260137258199182 10.698730867236723 0.03258620631161335 0.028636363122327424 -11.573952399724801 0.21394687932378176 0.13918213136556545 0.18248315069800294 0.05189471222608391 0.07784206833912585 9.767971939198802 0.04099094382472784 1.8832986142486687 0.5810276688995484 0.48648751693483433 3.1316841672958944 0.6276681677953242 0.489132274927794
GND-36838 0.7986340693468508 0.0019025775113163945 0.0018369713902365303 10.728908657197541 0.02884007464314564 0.03864570002181544 -12.416379193100774 0.28101921264427965 0.5931294688452162 0.030518901525849705 0.029012941830171304 0.06672976620939397 9.939367297801896 0.036783730322921454 1.9207592221238605 0.7952982292495462 0.49716176812957213 3.6055615990734866 0.9736881397610944 0.6154493686289149
GND-37186 0.8036935681363329 0.0012190327521861555 0.0014435914170622954 10.913284870615323 0.02285414684523701 0.023942439552152806 -11.936868347157604 0.03150573050436911 0.6173151906011167 0.009987673968401155 0.008156294249972043 0.047772580606979115 10.046496895590227 0.03387811345830244 1.3567716065189952 0.48794470659860545 0.3651008700671391 2.434104333371832 0.28682907800285085 0.23975849109631175
GND-13774 0.8486097851762893 0.0014798730172267405 0.0014529662350953876 11.0155916045852 0.027447634277901756 0.022301202850792734 -12.358021366183426 0.1480758682523895 1.052114082540502 0.0050675050858549064 0.003901315419489853 0.004226425037780675 10.137551878955287 0.032541700285069135 0.45252372883392233 0.5604731066009938 0.4400629973299268 2.789667548399318 0.4088707845852442 0.2220072721001758
GND-32108 0.855498760081092 0.0023643087481675096 0.0037434888512652975 10.65952875280195 0.03325199516593713 0.02660159613275148 -11.176619129263644 0.22877564939222061 0.1479207286916342 0.329285878377126 0.07173624979239934 0.18224885082393372 9.718439085169818 0.042183388424835655 2.1478303493240283 1.064934068237488 0.4054123492732723 2.55974531172579 0.7068527691802868 0.36490022848242365
GND-23459 0.8580638349675758 0.0011678875282459256 0.001067782882967605 10.931471802397258 0.020855835001240663 0.020855835001240663 -12.19887656384344 0.35679711798736413 0.473719694473278 0.4078274544210958 0.09802663553768659 0.0700190253840619 10.006211639767342 0.032663425556489184 1.6463467639180616 0.7600519809902414 0.3942271756198476 3.0866769366711315 0.7204545970635388 0.3105187109327119
GND-24795 0.8584563599970099 0.0020564417319619555 0.002759961271843636 10.840364036980123 0.033927297125540434 0.03335225819121135 -11.862854654398774 0.2991068296390438 0.4581532913150266 0.0015820778721616258 0.0 0.07068027022614602 9.730218449315137 0.045064458411632244 1.3407644052779901 0.782458698721567 0.2833657915968836 1.7694610039140632 0.33885890586000533 0.11774706398533752
GND-14158 0.9108586496973773 0.0038256306241372107 0.004590756748964586 10.575848287287492 0.023618101041749995 0.020665838411527915 -11.273494251992172 0.14557450748732492 0.3372153472414343 0.0014707817236648646 0.0 0.015928682375248724 9.714365150580596 0.02737882989903537 1.1111503714188697 1.0127327952669847 0.2316277268878511 1.9357906486768761 0.41014344044650697 0.031599872734866086
GND-29183 0.9334961718081918 0.002271019585222356 0.00667112003159076 10.500866814894811 0.029574646708628194 0.026428407697073553 -11.490245812059191 0.5763700728426198 0.2523928217069571 0.4461738990014405 0.10641328729502575 0.131952476245832 9.827218847431219 0.032032299975048945 1.64168314806916 0.9034730850946103 0.8179402794981616 2.223731169251243 0.09276579222575831 0.7359966743450905
