ID ra dec zphot zphot_- zphot_+ EAZY_lmass Reff Reff_sig
GND-29879 189.254227 62.291579 0.6862504345734723 0.01084846374411863 0.01259466920179686 10.899745148049313 1.1186674675456771 0.13374860630102095
GND-21683 189.318225 62.253421 0.6581144339387145 0.01129319264550388 0.010013943545354898 11.194140676225183 6.727319664980189 0.4371645205768552
GSD-41147 53.081634 -27.717718 0.6980800922053374 0.0066015625786547405 0.006663313211794031 10.80339127532901 1.462179647697839 0.08917726605307295
GSD-47140 53.131853 -27.687304 0.7329189463979869 0.007021899239489038 0.007642016053228118 10.773313924553966 2.9087067145682806 0.2198337260117233
GSD-46001 53.120312 -27.691486 0.7156578598454584 0.006942138378806084 0.007531631518596149 11.16396552391287 3.001870908978532 0.19188534408238225
GND-27006 189.263714 62.275807 0.7125623855892188 0.017146501942290504 0.017379862026741133 10.840070225858172 1.106248556184988 0.10965594760668694
GND-22358 189.08104 62.251545 0.8179066600035313 0.015058250955879982 0.01558102628920921 10.713567390893521 1.6611915077381396 0.11664420080558277
GND-36838 189.251622 62.344526 0.7975314952101349 0.01611963526125537 0.011694100350566283 10.792853275190618 1.458040201773453 0.11729338560928708
GND-37186 189.243199 62.349892 0.804812142831853 0.013259269351331926 0.01531527546780409 10.989309925214972 1.6772675019936285 0.15045770113012794
GND-13774 189.179829 62.211733 0.8306268401864991 0.0120702681319933 0.011857319347623796 11.056199502002858 1.7762268762118951 0.1380056662375816
GND-32108 189.277164 62.305097 0.8171626456207272 0.01435395535669659 0.011426400020034921 10.678687277060364 1.7663161108594594 0.14558291233730727
GND-23459 189.310355 62.258286 0.8562699835797596 0.010100655655200463 0.008177889698956609 10.996967906320295 1.9877294821631493 0.16137793119177435
GND-24795 189.202555 62.264622 0.8544050575329422 0.012870810489195694 0.009462055956739213 10.892868440302285 2.305875064957088 0.1422252413531237
GND-14158 189.192218 62.212927 0.8685076447194168 0.01304116346971862 0.013316388866756124 10.603743849746847 2.908992099381609 0.20522879135909727
GND-29183 189.245464 62.287267 0.9405022299842005 0.02590115715198127 0.024499106102488843 10.56016208930018 0.7425038657539872 0.063905954891926
GND-24177 189.343191 62.262053 0.9108480167756711 0.020089483385702822 0.014067009948417475 10.969048804255857 4.700825972517454 0.3267938264930837
GND-23081 189.334875 62.2558 0.9031798502438273 0.01993863983120925 0.015287768538418733 11.173703382742575 2.228241949731234 0.16515807318533302
GND-22213 189.201365 62.252076 0.8758305876066798 0.009527724022014405 0.008647960929029752 11.211721912483663 1.0981439448543646 0.11099140728042803
GND-33453 189.264307 62.314325 0.8823358617530813 0.01877823902458331 0.02675016362541316 10.693511811003308 2.450257441501794 0.16641385108922888
GND-23758 189.217983 62.260352 0.8894247546651515 0.01586928075466454 0.022955743608907953 11.224594591323033 7.958371576840366 0.5365069708998089
GND-22246 189.220896 62.252424 0.8748244641274744 0.011469576310328855 0.00929869494505109 11.10872585318143 3.5804211497738145 0.21972811109189505
GND-26673 189.27921 62.274483 0.9173408797564065 0.017252183351781913 0.017342281769041956 10.812275576796088 3.2169629546794147 0.23853493280644109
GND-27951 189.226202 62.281984 0.9354901728703469 0.014029410669987086 0.017455573307891492 11.136864243054355 3.5448697147218646 0.23282195757628885
GND-37340 189.2891 62.352859 0.8757938384471061 0.01322421923928796 0.012131162429138254 10.975047278405537 1.7525649150205034 0.11571083199976828
GND-12793 189.236022 62.205604 0.9606490157578816 0.01548305907150671 0.014847911185632445 10.867198715628549 2.563665157197076 0.16974611384876434
GSD-38191 53.141108 -27.732652 0.9714335851676912 0.010858871450915686 0.009199063478058656 10.655234090916872 1.2739001330948083 0.08081228700968232
GSD-39850 53.1731 -27.724355 0.9550949040482114 0.008699351342954964 0.010933997327651768 10.691568801375551 0.9076494130950847 0.08387260930119876
GND-36161 189.20141 62.336077 0.9217619407356339 0.01870921298493755 0.01925109366623423 10.74120317644528 1.2049398922102326 0.08214150645788597
GSD-19148 53.164983 -27.819326 0.9728423651155615 0.0076461268147819395 0.007673726976215045 11.455649422204408 3.895516714585008 0.27205031995832113
GND-22363 189.169647 62.251296 0.9864018536113786 0.016063746783514188 0.014246907151193922 10.738890297205053 0.9987175940817032 0.06882456795530187
GND-27185 189.242059 62.27751 1.0353967464451899 0.012753078037811116 0.01591238244272941 11.159451140006926 1.7165132169872224 0.16253530779407027
GSD-42221 53.079234 -27.711869 1.031420174728215 0.017284696229544316 0.024622377895424652 10.751529683078155 5.139788018459971 0.3880431738331716
GND-16758 189.162357 62.22484 0.981848109141865 0.014454779312430222 0.014786985727707536 11.050167007330328 1.4545102816210487 0.18870417676269244
GND-12078 189.166744 62.202054 0.9900474843550351 0.01301510105501158 0.009808530869971799 10.744462030247785 1.9901409228965674 0.13058903480602005
GSD-39170 53.041826 -27.725868 1.0333505436246788 0.00819869004813989 0.008633130132548628 11.404547247505414 3.2038533601399295 0.21023102514770695
GSD-43615 53.093057 -27.707368 1.0253629892904506 0.01419438008095808 0.012284160597519467 10.909502132004281 1.4975530664138286 0.13313581549007408
GND-22633 189.1617 62.252923 0.9993804777779195 0.020307975054029037 0.027821782745700907 10.72243406340704 1.4013888055846218 0.15753731972822835
GSD-39241 53.042327 -27.726209 1.0256545340260403 0.014341854802124798 0.014289704998022401 11.118356555114753 2.2270485114108287 0.14141137790963584
GSD-39631 53.042169 -27.725928 0.9937572620894857 0.014259629960247766 0.01606460410151911 10.991869053609982 2.244814621293452 0.17600840121242847
GND-37955 189.337824 62.371137 0.9783825937303957 0.01411611560498538 0.037290925753883486 11.026712229421653 3.170644066922724 0.21635636026689772
GND-37210 189.252761 62.350806 1.0387638633666647 0.014753397886183572 0.016018625635025208 11.192060435040773 2.673092181742647 0.18851062074906264
GSD-45972 53.115984 -27.693568 1.0346988642414192 0.008890590101114038 0.010981398833796119 11.093977115471043 8.355220492680662 0.6519915726354141
GSD-44620 53.249645 -27.702048 1.0891936717145887 0.015699922623414686 0.012131366820241851 10.726318830839107 4.112764790522844 0.31071259503263815
GSD-29928 53.154965 -27.768904 1.0948358824666813 0.008120602168735891 0.008149656953299722 11.713122074730927 6.501355441855305 0.4747234113272785
GND-30358 189.299204 62.29331 0.943469055400717 0.03262593173680317 0.02372362290190877 10.624051435376066 1.1662241419329413 0.08439918282762918
GND-23857 189.070894 62.259299 1.152811503879189 0.03879205711742628 0.03679741518866453 10.573863266136039 1.6150582535648406 0.11414349754107257
GSD-47691 53.273156 -27.681599 1.1176564243227685 0.009651701760460263 0.011781814039996119 11.168521578789802 5.233412568962951 0.34605843501085226
GND-21724 189.063257 62.248675 1.0954159310542873 0.022423543718963268 0.023310648873758666 11.022236803540617 2.6880177202715445 0.1986214189227121
GND-37325 189.251371 62.351582 1.1902271724536937 0.041023490123824224 0.03205194535532696 10.615951673437849 0.8105876585725363 0.07045508314408874
GND-22027 189.06579 62.249816 1.1362987491534728 0.032489002752608576 0.02174130125987994 10.915187650835446 1.676937351684511 0.11063096561134714
GND-34694 189.14784 62.323647 1.0687789592054178 0.022436896859209687 0.024115018751292627 11.117999834043154 4.617332275363269 0.36180856544142825
GND-38102 189.339219 62.375874 1.2424464833564306 0.016314495700167075 0.012153417313546022 10.651036951118325 0.5760786246906094 0.06385869640164382
GND-28451 189.247715 62.282931 1.1443789096929335 0.013342489349448039 0.015514683619169078 10.659260825353853 1.0149178188094305 0.0695294232101052
GND-20432 189.362767 62.242309 1.1368139244478992 0.020813760228466816 0.020183928088492342 11.06321979346767 1.1465475069198723 0.07193218487701558
GND-17746 189.049436 62.228979 1.1618009559808105 0.012570698981608563 0.016836982929418376 11.127819906364826 1.3228621410666908 0.15660450565566392
GSD-39805 53.163237 -27.724724 1.147229002382292 0.014646378136196958 0.016244184286681174 10.755902669065588 2.331793106375075 0.16127308854114716
GSD-40476 53.108262 -27.721924 1.1848486210117752 0.011498200135861447 0.015607399531578414 10.890544666343247 1.1309288096421153 0.09861225333211619
GSD-37828 53.158121 -27.734502 1.1952797248680243 0.016377198798840364 0.015951603723865615 10.69680100960127 1.0890591625581523 0.07911277390403518
GSD-40597 53.148451 -27.719472 1.2265562295912553 0.009884397678252332 0.012431642531774534 11.3841747248733 1.7892564665247945 0.13892803322670474
GND-34419 189.311828 62.320264 1.2006221859414299 0.01314044462458086 0.011108086951713725 10.790070105406476 0.7087326350551677 0.051306107534320314
GND-13191 189.217041 62.207326 1.2828043827213043 0.020552657161273746 0.023655198525506682 10.780560342391263 1.768820386601603 0.13838958270597002
GND-14713 189.236333 62.214608 1.2287043985351034 0.023853795454023663 0.025525321393682354 10.78944821281578 1.5140911665007253 0.11213108622197014
GND-17070 189.268086 62.226445 1.2437128638780943 0.0177435638258856 0.014903645752851524 11.251240844938623 0.8274979647225696 0.09568492608417853
GSD-38785 53.168249 -27.7273 1.1391488586967389 0.039140679781614285 0.04363740876160005 11.061560917866444 3.427205916261419 0.25969326450024505
GND-21156 189.239409 62.247548 1.214476848973222 0.016259355128588115 0.020157984659639583 11.435145725854792 2.8844203446422663 0.2359693190283443
GSD-35774 53.158775 -27.742385 1.225425504406247 0.009607648212937026 0.010805097233617111 11.286030180279418 6.352577106550566 0.40410597944036986
GND-37686 189.274474 62.36082 1.2774076067844855 0.022016101800961252 0.02297683799542649 11.247025110098757 1.8424461811840804 0.1361391686844827
GSD-40862 53.04802 -27.719743 1.3415808363949389 0.013207104519398882 0.01683666554842511 11.185341266371271 2.7134800229717335 0.20737009265531223
GSD-46066 53.061039 -27.693501 1.323858479607959 0.01411237964198242 0.01636445474101711 11.198918042700353 1.7381860284273056 0.11439829210803529
GSD-39804 53.178423 -27.72464 1.3634709894763757 0.010692029558703853 0.012558993169308419 11.230643748673453 0.8384351442986665 0.10676458201068838
GSD-45775 53.158558 -27.694968 1.3656192367942739 0.011797244385553185 0.016075107286967816 11.364186871875889 13.682067825171533 0.926053895424824
GND-36530 189.27562 62.340723 1.3885931764809525 0.0186737136909505 0.02950676228016036 11.089616957724262 6.063011029510952 0.4857338765804433
GSD-40623 53.13048 -27.721152 1.4300658464159597 0.022440195215944314 0.02199418925496288 11.115336242887478 2.214293112711417 0.14943802118744853
GND-24345 189.244758 62.261225 1.3498185207086366 0.028843773697454722 0.03120013620909745 10.64622875071868 0.488942957477 0.04248835793744742
GND-16574 189.233886 62.223678 1.498952167430765 0.029756277404917375 0.03244147468868186 10.699648698461308 0.7687682771152176 0.05968591977235508
GND-21427 189.368121 62.247344 1.4997045397314412 0.02156288915765403 0.02227212149810409 11.0361990562419 2.3377877347310894 0.1533855763258236
GSD-40223 53.124956 -27.722957 1.6597901370908128 0.0260743281443645 0.02172909097397402 10.953575777799623 1.063864607611176 0.08206548456365151
